name,year,cause_of_death,suspicion_level,section
Philip Haney,2020,"Gunshot, ruled suicide",SUSPICIOUS,UAPs Murders (General)
Jacob Prichard,2025,Murder-suicide (perpetrator),UNCERTAIN (UAP link),UAPs Murders (General)
Jaymee Prichard,2025,Strangled (victim of murder-suicide),UNCERTAIN (UAP link),UAPs Murders (General)
1st Lt. Jaime Gustitus,2025,Shot (victim of murder-suicide),UNCERTAIN (UAP link),UAPs Murders (General)
John Rossi,2016,"Hanging, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
William Cooper,2001,Shot by sheriff's deputies,SUSPICIOUS,UAPs Murders (General)
Phil Schneider,1996,"Found dead, catheter wrapped around neck",HIGHLY SUSPICIOUS,UAPs Murders (General)
Robert Frost (Area 51),~1990s,Toxic exposure,SUSPICIOUS,UAPs Murders (General)
Walter Kasza (Area 51),~1990s,Toxic exposure,SUSPICIOUS,UAPs Murders (General)
Philip Corso,1998,Heart attack,MODERATE SUSPICION,UAPs Murders (General)
Leonard Stringfield,1994,Lung cancer,MODERATE SUSPICION,UAPs Murders (General)
Robert F. Kennedy,1968,Assassinated by gunshot,UNCERTAIN (UFO link),UAPs Murders (General)
John F. Kennedy,1963,Assassinated by gunshot,UNCERTAIN (UFO link),UAPs Murders (General)
Frank Olson,1953,Fell from hotel window,HIGHLY SUSPICIOUS,UAPs Murders (General)
James Forrestal,1949,Fell from hospital window,HIGHLY SUSPICIOUS,UAPs Murders (General)
Harald Malmgren,2025,Natural causes (age 89),NOT SUSPICIOUS,UAPs Murders (General)
Capt. Uyrange Hollanda,1997,"Hanging, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Carl Grillmair,2026,Shot on porch,SUSPICIOUS,UAPs Murders (General)
Nuno Loureiro,2025,Shot at home,SUSPICIOUS,UAPs Murders (General)
Monica Jacinto Reza,2025,Missing,SUSPICIOUS,UAPs Murders (General)
Frank Maiwald,2024,Not disclosed,SUSPICIOUS,UAPs Murders (General)
Jason Thomas,2025-2026,Found dead in lake (cause pending),UNCERTAIN (UAP link),UAPs Murders (General)
Christopher Fallen,2024,"Asphyxiation (bound, home invasion)",UNCERTAIN (UAP link),UAPs Murders (General)
Philip Leonard,2024,Head-on car crash,UNCERTAIN (UAP link),UAPs Murders (General)
Matthew Livelsberger,2025,Self-inflicted gunshot / Cybertruck explosion,NOT SUSPICIOUS (UAP link debunked),UAPs Murders (General)
Maj. Gen. William Neil McCasland,2026,"Missing since Feb 27, 2026",SUSPICIOUS,UAPs Murders (General)
Melissa Casias,2025,"Missing since June 26, 2025",SUSPICIOUS,UAPs Murders (General)
Anthony Chavez,2025,"Missing since May 4, 2025",SUSPICIOUS,UAPs Murders (General)
Fred Bell,2011,Undisclosed,SUSPICIOUS,UAPs Murders (General)
Todd Sees,2002,Cocaine toxicity,HIGHLY SUSPICIOUS,UAPs Murders (General)
Ron Bonds,2001,Fatal food poisoning,SUSPICIOUS,UAPs Murders (General)
Dean Stonier,2001,Heart attack,SUSPICIOUS,UAPs Murders (General)
Peter Jennings,2005,Lung cancer,MODERATE SUSPICION,UAPs Murders (General)
Ron Johnson,1994,Sudden death at conference,HIGHLY SUSPICIOUS,UAPs Murders (General)
Ron Rummel,1993,"Gunshot to mouth, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Danny Casolaro,1991,Wrists slashed in hotel bathtub,HIGHLY SUSPICIOUS,UAPs Murders (General)
Jim Keith,1999,Blood clot after knee surgery,SUSPICIOUS,UAPs Murders (General)
Karla Turner,1996,Cancer,SUSPICIOUS,UAPs Murders (General)
Ann Livingston,1994,Fast-acting ovarian cancer,SUSPICIOUS,UAPs Murders (General)
Mae Brussell,1988,Fast-acting cancer,SUSPICIOUS,UAPs Murders (General)
Brian Lynch,Unknown,Overdose,SUSPICIOUS,UAPs Murders (General)
Don Elkins,1984,Suicide,SUSPICIOUS,UAPs Murders (General)
Coral Lorenzen,1988,Cancer,MODERATE SUSPICION,UAPs Murders (General)
Jim Lorenzen,1986,Cancer,MODERATE SUSPICION,UAPs Murders (General)
J. Allen Hynek,1986,Brain tumor,MODERATE SUSPICION,UAPs Murders (General)
James McDonald,1971,Gunshot,HIGHLY SUSPICIOUS,UAPs Murders (General)
Otto Binder,1974,Unknown,MODERATE SUSPICION,UAPs Murders (General)
Ivan Sanderson,1973,Cancer,MODERATE SUSPICION,UAPs Murders (General)
John Murphy,1969,Hit by car,HIGHLY SUSPICIOUS,UAPs Murders (General)
Dorothy Kilgallen,1965,Drug/alcohol overdose,HIGHLY SUSPICIOUS,UAPs Murders (General)
Frank Edwards,1967,Heart attack,SUSPICIOUS,UAPs Murders (General)
Morris Jessup,1959,"Carbon monoxide, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Edward Ruppelt,1960,Heart attack,MODERATE SUSPICION,UAPs Murders (General)
Damon Runyon Jr.,1968,Unknown,MODERATE SUSPICION,UAPs Murders (General)
George Adamski,1965,Heart attack,MODERATE SUSPICION,UAPs Murders (General)
Frank Scully,1964,Unknown,MODERATE SUSPICION,UAPs Murders (General)
Gloria Lee,1962,Starvation,MODERATE SUSPICION,UAPs Murders (General)
Thomas Mantell,1948,Aircraft crash,SUSPICIOUS,UAPs Murders (General)
Stanton Friedman,2019,Heart attack,MODERATE SUSPICION,UAPs Murders (General)
Max Spiers,2016,Vomited black fluid,HIGHLY SUSPICIOUS,UAPs Murders (General)
Gaurav Tiwari,2016,"Suicide, ruled",SUSPICIOUS,UAPs Murders (General)
Tony Dodd,2009,Brain tumor,MODERATE SUSPICION,UAPs Murders (General)
Paul Vigay,2009,Drowned,SUSPICIOUS,UAPs Murders (General)
Dean Warwick,2006,Collapsed on stage,HIGHLY SUSPICIOUS,UAPs Murders (General)
Olavo Fontes,1968,Cancer,MODERATE SUSPICION,UAPs Murders (General)
Wilbert Smith,1962,Cancer,SUSPICIOUS,UAPs Murders (General)
Bob Lazar,Living,N/A,SUPPRESSED,UAPs Murders (General)
David Grusch,Living,N/A,TARGETED,UAPs Murders (General)
Dylan Borland,Unknown,Unknown,UNCERTAIN,UAPs Murders (General)
Lue Elizondo,Living,N/A,TARGETED,UAPs Murders (General)
Ryan Graves,Living,N/A,TARGETED,UAPs Murders (General)
John Burroughs,Living,N/A,TARGETED,UAPs Murders (General)
Rep. Tim Burchett,Living,N/A,TARGETED,UAPs Murders (General)
George Knapp,Living,N/A,TARGETED,UAPs Murders (General)
Mark McCandlish,2021,"Gunshot to head, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Mr. 35-Year-Old Murdered Whistleblower,Unknown,Unknown,HIGHLY SUSPICIOUS,UAPs Murders (General)
Karl Wolfe,2018,Struck by tractor trailer while cycling,SUSPICIOUS,UAPs Murders (General)
James Ryder,Unknown,Unknown,UNCERTAIN,UAPs Murders (General)
Boyd Bushman,2014,Natural causes,MODERATE SUSPICION,UAPs Murders (General)
John Mack,2004,Struck by drunk driver,SUSPICIOUS,UAPs Murders (General)
Ken Rasmussen,Living,N/A,SUPPRESSED,UAPs Murders (General)
