name,year,cause_of_death,suspicion_level,section
William Neil McCasland,2026,"Missing since Feb 27, 2026",SUSPICIOUS,UAP Energy Systems Murders
Carl Grillmair,2026,Shot on porch,SUSPICIOUS,UAP Energy Systems Murders
Nuno Loureiro,2025,Shot at home,SUSPICIOUS,UAP Energy Systems Murders
Monica Jacinto Reza,2025,Missing,SUSPICIOUS,UAP Energy Systems Murders
Melissa Casias,2025,Missing,SUSPICIOUS,UAP Energy Systems Murders
Jacob Prichard,2025,Murder-suicide,UNCERTAIN,UAP Energy Systems Murders
Jaime Gustitus,2025,Shot,UNCERTAIN,UAP Energy Systems Murders
Jaymee Prichard,2025,Strangled,UNCERTAIN,UAP Energy Systems Murders
Amy Eskridge,2022,Ruled suicide,SUSPICIOUS,UAP Energy Systems Murders
Thomas Bearden,2022,Natural causes,MODERATE SUSPICION,UAP Energy Systems Murders
Aaron Salter Jr.,2022,Gunshot (mass shooting),UNCERTAIN,UAP Energy Systems Murders
Mark McCandlish,2021,"Gunshot to head, ruled suicide",HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Ning Li,2021,Car accident,SUSPICIOUS,UAP Energy Systems Murders
John Rossi,2016,"Hanging, ruled suicide",HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Andrii Slobodian,2020,Unknown,SUSPICIOUS,UAP Energy Systems Murders
John Searl,2018,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
Bill Yelon,2018,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Paramahamsa Tewari,2017,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
John Christie,2017,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Trevor Constable,2016,Natural causes (age 90),SUSPICIOUS,UAP Energy Systems Murders
John Bedini,2016,Sudden death,SUSPICIOUS,UAP Energy Systems Murders
