name,year,cause_of_death,suspicion_level,section
William McCasland,2026,Missing,SUSPICIOUS,UAP Physics Murders
Nuno Loureiro,2025,Shot at home,SUSPICIOUS,UAP Physics Murders
Amy Eskridge,2022,Ruled suicide,SUSPICIOUS,UAP Physics Murders
Mark McCandlish,2021,"Gunshot to head, ruled suicide",HIGHLY SUSPICIOUS,UAP Physics Murders
Ning Li,2021,Car accident,SUSPICIOUS,UAP Physics Murders
Karl Wolfe,2018,Struck by tractor trailer,SUSPICIOUS,UAP Physics Murders
Max Spiers,2016,Vomited two liters of black fluid,HIGHLY SUSPICIOUS,UAP Physics Murders
John Bedini,2016,Sudden death,SUSPICIOUS,UAP Physics Murders
Harald Malmgren,2025,Natural causes (age 89),NOT SUSPICIOUS,UAP Physics Murders
Stanton Friedman,2019,Heart attack,MODERATE SUSPICION,UAP Physics Murders
