name,year,cause_of_death,suspicion_level,section
Carl Grillmair,2026,Shot on porch,SUSPICIOUS,UAPs Murders (General)
William Neil McCasland,2026,"Missing since Feb 27, 2026",SUSPICIOUS,UAPs Murders (General)
Jason Thomas,2025,Found dead in lake (cause pending),UNCERTAIN (UAP link),UAPs Murders (General)
Jacob Prichard,2025,Murder-suicide (perpetrator),UNCERTAIN (UAP link),UAPs Murders (General)
Jaymee Prichard,2025,Strangled (victim of murder-suicide),UNCERTAIN (UAP link),UAPs Murders (General)
Jaime Gustitus,2025,Shot (victim of murder-suicide),UNCERTAIN (UAP link),UAPs Murders (General)
Harald Malmgren,2025,Natural causes (age 89),NOT SUSPICIOUS,UAPs Murders (General)
Nuno Loureiro,2025,Shot at home,SUSPICIOUS,UAPs Murders (General)
Monica Jacinto Reza,2025,Missing,SUSPICIOUS,UAPs Murders (General)
Matthew Livelsberger,2025,Self-inflicted gunshot / Cybertruck explosion,NOT SUSPICIOUS,UAPs Murders (General)
Melissa Casias,2025,"Missing since June 26, 2025",SUSPICIOUS,UAPs Murders (General)
Anthony Chavez,2025,"Missing since May 4, 2025",SUSPICIOUS,UAPs Murders (General)
Frank Maiwald,2024,Not disclosed,SUSPICIOUS,UAPs Murders (General)
Christopher Fallen,2024,"Asphyxiation (bound, home invasion)",UNCERTAIN (UAP link),UAPs Murders (General)
Philip Leonard,2024,Head-on car crash,UNCERTAIN (UAP link),UAPs Murders (General)
Amy Eskridge,2022,Ruled suicide,SUSPICIOUS,UAPs Murders (General)
Thomas Bearden,2022,Natural causes,MODERATE SUSPICION,UAPs Murders (General)
Aaron Salter Jr.,2022,Gunshot (mass shooting),UNCERTAIN,UAPs Murders (General)
Mark McCandlish,2021,"Gunshot to head, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Ning Li,2021,Car accident destroyed her brain,SUSPICIOUS,UAPs Murders (General)
Philip Haney,2020,"Gunshot, ruled suicide",SUSPICIOUS,UAPs Murders (General)
Stanton Friedman,2019,Heart attack,MODERATE SUSPICION,UAPs Murders (General)
Karl Wolfe,2018,Struck by tractor trailer while cycling,SUSPICIOUS,UAPs Murders (General)
John Rossi,2016,"Hanging, ruled suicide",HIGHLY SUSPICIOUS,UAPs Murders (General)
Max Spiers,2016,Vomited two liters of black fluid,HIGHLY SUSPICIOUS,UAPs Murders (General)
Gaurav Tiwari,2016,"Suicide, ruled",SUSPICIOUS,UAPs Murders (General)
John Bedini,2016,Sudden death (same day as brother),SUSPICIOUS,UAPs Murders (General)
